sysTime,roll,pitch,yaw,ax,ay,az,sqrt,average
6:7:23:43:46017,73.61,23.41,-3.13,-0.07,0.95,0.17,0.97,1.24
6:7:23:43:46064,81.99,21.17,1.42,0.06,0.71,0.2,0.74,1.05
6:7:23:43:46158,84.06,21.72,5.32,-0.12,0.76,0.5,0.92,0.88
6:7:23:43:46255,81.81,16.1,9.67,-0.36,0.84,0.55,1.07,0.91
6:7:23:44:46660,85.12,17.01,0.25,-0.12,0.59,0.21,0.64,0.87
6:7:23:44:46740,85.55,18.89,-4.2,-0.45,0.61,0.26,0.8,0.84
6:7:23:44:46851,84.78,22.51,-3.94,-0.39,1.02,0.49,1.2,0.88
6:7:23:44:46948,85.35,23.62,-3.93,-0.42,1.0,0.45,1.18,1.06
6:7:23:44:47045,86.42,24.62,-3.47,-0.37,1.06,0.49,1.22,1.2
6:7:23:44:47141,86.97,25.01,-2.41,-0.37,0.96,0.3,1.07,1.16
6:7:23:44:47237,87.61,28.65,-2.82,-0.18,0.51,0.17,0.56,0.95
6:7:23:45:47667,83.13,36.15,-3.04,-0.36,1.29,0.8,1.56,1.07
6:7:23:45:47748,82.71,34.11,-6.98,-0.23,0.84,0.51,1.01,1.04
6:7:23:45:47845,82.1,37.03,-9.48,-0.1,0.55,0.36,0.67,1.08
6:7:23:45:47956,83.49,40.28,-11.94,-0.36,0.58,0.31,0.76,0.81
6:7:23:45:48052,82.57,40.68,-15.66,-0.33,0.78,0.51,0.98,0.8
6:7:23:45:48147,80.36,38.74,-19.1,-0.54,1.04,0.57,1.3,1.01
6:7:23:45:48260,84.22,40.02,-17.47,-0.61,1.19,0.52,1.43,1.24
6:7:23:46:48638,91.45,37.91,-4.09,-0.34,0.7,0.56,0.96,1.23
6:7:23:46:48750,88.45,34.0,-6.69,-0.56,0.9,0.76,1.31,1.23
6:7:23:46:48846,85.99,37.92,-5.29,-0.45,0.84,1.06,1.43,1.23
6:7:23:46:49350,88.46,43.09,-2.18,-0.12,0.61,0.59,0.86,1.2
6:7:23:46:49352,85.72,46.55,-7.8,-0.12,0.45,0.37,0.59,0.96
6:7:23:46:49353,78.76,50.83,-17.62,-0.35,0.43,0.56,0.79,0.75
6:7:23:46:49357,70.49,49.0,-27.01,-0.42,0.65,0.7,1.04,0.81
6:7:23:47:49642,102.56,44.61,-12.27,-0.08,0.51,0.3,0.6,0.81
6:7:23:47:49738,111.12,45.14,-4.7,-0.27,0.61,0.59,0.89,0.84
6:7:23:47:49834,115.83,45.95,1.37,-0.27,0.95,0.85,1.31,0.93
6:7:23:47:49945,116.96,46.8,5.19,-0.27,1.0,0.83,1.33,1.17
6:7:23:47:50041,121.02,53.31,11.63,0.31,0.86,0.6,1.09,1.24
6:7:23:47:50154,104.52,49.5,-1.72,-0.07,0.83,0.44,0.94,1.12
6:7:23:47:50234,96.82,54.76,-10.4,-0.04,0.4,0.38,0.56,0.86
6:7:23:48:50638,94.29,58.18,-22.22,0.19,0.84,0.49,0.99,0.83
6:7:23:48:50750,94.0,47.91,-20.65,-0.04,0.8,0.4,0.9,0.81
6:7:23:48:50863,96.71,44.45,-14.69,-0.11,0.41,0.27,0.5,0.8
6:7:23:48:50944,99.38,42.28,-9.12,-0.12,0.82,0.7,1.09,0.83
6:7:23:48:51038,102.79,41.79,-6.44,-0.17,0.93,0.73,1.19,0.93
6:7:23:48:51151,100.62,42.52,-9.02,-0.07,0.93,0.81,1.23,1.17
6:7:23:48:51247,96.8,44.64,-10.89,0.13,0.85,0.59,1.04,1.16
6:7:23:49:51652,37.21,58.47,-47.11,-0.03,0.52,1.21,1.31,1.2
6:7:23:49:51748,32.35,59.24,-46.96,0.02,0.23,1.39,1.41,1.26
6:7:23:49:51860,30.79,55.43,-48.34,0.13,0.24,0.91,0.95,1.22
6:7:23:49:51955,33.89,55.04,-44.31,0.15,0.19,0.45,0.52,0.96
6:7:23:49:52051,36.99,55.38,-37.66,0.05,0.02,0.66,0.67,0.71
6:7:23:49:52147,38.82,57.26,-34.82,0.07,-0.07,1.11,1.12,0.77
6:7:23:49:52243,42.48,62.23,-34.46,0.25,-0.07,1.3,1.32,1.03
6:7:23:50:52654,24.09,65.62,-62.76,0.08,-0.08,0.73,0.74,1.06
6:7:23:50:52751,25.54,69.92,-59.76,0.21,-0.02,1.25,1.27,1.11
6:7:23:50:52848,32.57,69.47,-55.44,0.35,0.01,1.39,1.44,1.15
6:7:23:50:52944,40.79,73.8,-46.39,0.56,-0.07,0.85,1.03,1.24
6:7:23:50:53054,59.83,72.15,-28.04,0.39,0.12,0.65,0.77,1.08
6:7:23:50:53151,67.0,65.04,-24.24,0.27,0.01,0.54,0.6,0.8
6:7:23:50:53262,69.62,61.71,-20.12,0.25,0.1,0.69,0.74,0.7
6:7:23:51:53658,59.54,71.87,-34.85,0.45,0.09,0.6,0.75,0.7
6:7:23:51:53737,63.52,69.84,-37.34,0.17,0.08,0.37,0.42,0.64
6:7:23:51:53850,44.32,72.24,-53.97,0.19,0.12,1.06,1.08,0.75
6:7:23:51:53946,32.91,70.81,-62.55,0.45,0.29,1.58,1.66,1.06
6:7:23:51:54042,46.11,60.5,-60.04,0.37,0.39,1.44,1.54,1.43
6:7:23:51:54153,68.72,44.71,-51.61,0.28,0.74,0.68,1.04,1.42
6:7:23:51:54250,86.55,26.55,-46.39,0.11,0.58,0.3,0.66,1.08
6:7:23:52:54641,109.43,6.84,-41.35,-0.32,1.01,0.26,1.09,0.93
6:7:23:52:54768,108.96,12.66,-43.2,-0.12,0.78,-0.03,0.79,0.85
6:7:23:52:54848,100.69,23.69,-48.61,-0.19,0.55,0.0,0.58,0.82
6:7:23:52:54961,86.38,30.37,-48.86,-0.35,0.87,0.25,0.97,0.78
6:7:23:52:55056,77.5,35.45,-49.21,-0.26,1.03,0.49,1.17,0.91
6:7:23:52:55152,73.52,41.51,-52.31,0.17,1.24,0.39,1.32,1.15
6:7:23:52:55249,68.8,50.21,-50.22,0.43,0.83,0.23,0.96,1.15
6:7:23:53:55648,59.68,60.57,-37.09,0.58,0.85,0.66,1.22,1.17
6:7:23:53:55744,47.57,61.28,-46.18,0.78,0.78,1.01,1.5,1.23
6:7:23:53:55840,41.05,63.08,-51.09,0.73,0.4,0.53,0.98,1.23
6:7:23:53:55984,41.97,58.68,-57.39,0.51,0.38,0.34,0.72,1.07
6:7:23:53:56047,47.25,53.33,-61.33,0.14,0.54,0.09,0.57,0.76
6:7:23:53:56144,43.34,50.73,-69.68,0.43,0.85,0.48,1.07,0.78
6:7:23:53:56240,42.6,48.19,-71.06,0.64,1.06,0.65,1.4,1.01
6:7:23:54:56667,42.41,45.44,-49.25,0.25,0.55,0.58,0.84,1.1
6:7:23:54:56747,39.33,42.54,-48.0,0.35,0.7,0.65,1.02,1.08
6:7:23:54:56843,35.46,37.55,-51.99,0.38,0.76,0.83,1.19,1.02
